id,startNode,endNode,,
IPARK03001_IWALK00101,IPARK03001,IWALK00101,1,1
IPARK02501_IWALK00101,IPARK02501,IWALK00101,1,1
IPARK02901_IWALK00101,IPARK02901,IWALK00101,1,1
IPARK02601_IWALK00101,IPARK02601,IWALK00101,1,1
IPARK02801_IWALK00101,IPARK02801,IWALK00101,1,1
IPARK02701_IWALK00101,IPARK02701,IWALK00101,1,1
IPARK02401_IWALK00101,IPARK02401,IWALK00101,1,1
IPARK02301_IWALK00101,IPARK02301,IWALK00101,1,1
IPARK02201_IWALK00101,IPARK02201,IWALK00101,1,1
IPARK01901_IWALK00101,IPARK01901,IWALK00101,1,1
IPARK02001_IWALK00101,IPARK02001,IWALK00101,1,1
IPARK02101_IWALK00101,IPARK02101,IWALK00101,1,1
IPARK01501_IWALK00101,IPARK01501,IWALK00101,1,1
IPARK01401_IWALK00101,IPARK01401,IWALK00101,1,1
IPARK01301_IWALK00101,IPARK01301,IWALK00101,1,1
IPARK01801_IWALK00101,IPARK01801,IWALK00101,1,1
IPARK01701_IWALK00101,IPARK01701,IWALK00101,1,1
IWALK00101_IWALK00201,IWALK00101,IWALK00201,1,1
IWALK00201_IWALK00301,IWALK00201,IWALK00301,1,1
IWALK00301_IWALK00401,IWALK00301,IWALK00401,1,1
IWALK00401_IWALK00501,IWALK00401,IWALK00501,1,1
IWALK00501_IWALK00601,IWALK00501,IWALK00601,1,1
IWALK00601_IWALK00701,IWALK00601,IWALK00701,1,1
IWALK00701_IWALK00801,IWALK00701,IWALK00801,1,1
IWALK00801_IWALK00901,IWALK00801,IWALK00901,1,1
IWALK00901_IWALK01001,IWALK00901,IWALK01001,1,1
IWALK01001_IEXIT00101,IWALK01001,IEXIT00101,1,1
IWALK01001_IWALK01301,IWALK01001,IWALK01301,1,1
IWALK00701_IWALK01101,IWALK00701,IWALK01101,1,1
IWALK01101_IEXIT00201,IWALK01101,IEXIT00201,1,1
IWALK01301_IWALK01201,IWALK01301,IWALK01201,1,1
IWALK01201_IPARK00101,IWALK01201,IPARK00101,1,1
IPARK00201_IWALK01201,IPARK00201,IWALK01201,1,1
IPARK00301_IWALK01201,IPARK00301,IWALK01201,1,1
IPARK00401_IWALK01201,IPARK00401,IWALK01201,1,1
IPARK00601_IWALK01201,IPARK00601,IWALK01201,1,1
IPARK00501_IWALK01201,IPARK00501,IWALK01201,1,1
IPARK00701_IWALK01201,IPARK00701,IWALK01201,1,1
IPARK00801_IWALK01201,IPARK00801,IWALK01201,1,1
IPARK00901_IWALK01201,IPARK00901,IWALK01201,1,1
IPARK01001_IWALK01201,IPARK01001,IWALK01201,1,1
IPARK01101_IWALK01201,IPARK01101,IWALK01201,1,1
IPARK01201_IWALK01201,IPARK01201,IWALK01201,1,1
IWALK00101_IPARK01601,IWALK00101,IPARK01601,1,1
IWALK01501_IWALK01201,IWALK01501,IWALK01201,1,1
IHALL01201_IHALL01101,IHALL01201,IHALL01101,1,1
IHALL01201_ISTAI00401,IHALL01201,ISTAI00401,1,1
IHALL01201_IHALL01301,IHALL01201,IHALL01301,1,1
IRETL00101_IHALL01301,IRETL00101,IHALL01301,1,1
IDEPT00801_IHALL01501,IDEPT00801,IHALL01501,1,1
IHALL00101_ISERV00201,IHALL00101,ISERV00201,1,1
IHALL00101_IHALL00201,IHALL00101,IHALL00201,1,1
IHALL02401_IHALL02301,IHALL02401,IHALL02301,1,1
IHALL02401_ISTAI00101,IHALL02401,ISTAI00101,1,1
IHALL02401_IHALL02501,IHALL02401,IHALL02501,1,1
IHALL00901_IHALL00801,IHALL00901,IHALL00801,1,1
IHALL00901_IDEPT00501,IHALL00901,IDEPT00501,1,1
IHALL00901_IHALL01001,IHALL00901,IHALL01001,1,1
IHALL00901_IHALL01401,IHALL00901,IHALL01401,1,1
ILAB00401_IHALL02901,ILAB00401,IHALL02901,1,1
IHALL01101_IHALL00601,IHALL01101,IHALL00601,1,1
IHALL01101_IELEV00101,IHALL01101,IELEV00101,1,1
IHALL01101_ISTAI00301,IHALL01101,ISTAI00301,1,1
IDEPT00901_IHALL01601,IDEPT00901,IHALL01601,1,1
IHALL01901_IHALL01701,IHALL01901,IHALL01701,1,1
IHALL01901_IDEPT00201,IHALL01901,IDEPT00201,1,1
IHALL01901_IHALL02001,IHALL01901,IHALL02001,1,1
IHALL02301_IHALL02201,IHALL02301,IHALL02201,1,1
IHALL02301_ISERV00101,IHALL02301,ISERV00101,1,1
IHALL00801_IHALL00701,IHALL00801,IHALL00701,1,1
IHALL00801_IREST00201,IHALL00801,IREST00201,1,1
ILAB00301_IHALL02201,ILAB00301,IHALL02201,1,1
ISTAI00201_IHALL03101,ISTAI00201,IHALL03101,1,1
IHALL01001_IDEPT00701,IHALL01001,IDEPT00701,1,1
IHALL01801_IHALL00601,IHALL01801,IHALL00601,1,1
IHALL01801_IHALL01701,IHALL01801,IHALL01701,1,1
IHALL01801_IDEPT00601,IHALL01801,IDEPT00601,1,1
IDEPT00101_IHALL02001,IDEPT00101,IHALL02001,1,1
IHALL00701_IHALL00601,IHALL00701,IHALL00601,1,1
IHALL02201_IHALL02101,IHALL02201,IHALL02101,1,1
ILAB00201_IHALL02101,ILAB00201,IHALL02101,1,1
IKIOS00101_IHALL01301,IKIOS00101,IHALL01301,1,1
ISERV00301_IHALL02701,ISERV00301,IHALL02701,1,1
IHALL01701_IHALL01601,IHALL01701,IHALL01601,1,1
IHALL01701_IHALL02101,IHALL01701,IHALL02101,1,1
IHALL02901_IHALL02801,IHALL02901,IHALL02801,1,1
IHALL00601_IHALL00501,IHALL00601,IHALL00501,1,1
ILAB00101_IHALL00301,ILAB00101,IHALL00301,1,1
IELEV00201_IHALL02601,IELEV00201,IHALL02601,1,1
IHALL03101_IHALL03001,IHALL03101,IHALL03001,1,1
IREST00101_IHALL00401,IREST00101,IHALL00401,1,1
IHALL01601_IHALL01401,IHALL01601,IHALL01401,1,1
IHALL01601_IHALL02701,IHALL01601,IHALL02701,1,1
IDEPT00401_IHALL00501,IDEPT00401,IHALL00501,1,1
IHALL02001_IDEPT00301,IHALL02001,IDEPT00301,1,1
IHALL02801_IHALL02701,IHALL02801,IHALL02701,1,1
IHALL02801_IHALL03001,IHALL02801,IHALL03001,1,1
IHALL00501_IHALL00401,IHALL00501,IHALL00401,1,1
IHALL03001_IDEPT01001,IHALL03001,IDEPT01001,1,1
IELEV00301_IHALL02501,IELEV00301,IHALL02501,1,1
IHALL01501_IHALL01401,IHALL01501,IHALL01401,1,1
IHALL00401_IHALL00201,IHALL00401,IHALL00201,1,1
IHALL00301_IHALL00201,IHALL00301,IHALL00201,1,1
IHALL02601_IHALL02501,IHALL02601,IHALL02501,1,1
IEXIT00101_IHALL01301,IEXIT00101,IHALL01301,1,1
